Date & Time	Document	Draft	Total Words	Average Sentence	Rating	Passive Index	Rating	Style Index	Rating	Bog Index	Rating	Reading Grade	Rating	Jargon	Rating	Glue	Rating	Pep	Rating	Task	Audience	Author
06 Aug 2019 13:18	18403_08252005_09072005.docx	Original	125	23.4	Poor	20	Good	120	Bad	79	Poor	14.0	Fairly Difficult	0.0	Excellent	42	Fair	7	Poor	General Writing	Public	Damon Hao
06 Aug 2019 13:18	21020_08252005_08312005.docx	Original	223	11.4	Excellent	5	Excellent	8	Excellent	31	Good	7.7	Easy	5.4	Bad	32	Concise	14	Good	General Writing	Public	Damon Hao
06 Aug 2019 13:18	21020_08252005_09032005.docx	Original	212	21.6	Fair	33	Fair	56	Fair	38	Good	11.3	Standard	1.9	Good	33	Concise	14	Good	General Writing	Public	Damon Hao
06 Aug 2019 13:19	21020_08252005_09092005.docx	Original	317	18.6	Excellent	6	Excellent	78	Poor	56	Fair	13.0	Fairly Difficult	3.5	Poor	32	Concise	12	Fair	General Writing	Public	Damon Hao
06 Aug 2019 13:19	21020_08252005_09142005.docx	Original	323	31.2	Bad	20	Good	120	Bad	81	Poor	16.2	Difficult	3.7	Poor	37	Concise	11	Fair	General Writing	Public	Damon Hao
06 Aug 2019 13:20	21020_08252005_09232005.docx	Original	282	13.8	Excellent	11	Good	60	Fair	52	Fair	8.9	Easy	5.0	Bad	27	Concise	13	Fair	General Writing	Public	Damon Hao
06 Aug 2019 13:20	21178_07202011_07272011.docx	Original	217	41.6	Unreadable	20	Good	124	Bad	82	Poor	18.1	Very Difficult	1.8	Good	36	Concise	11	Fair	General Writing	Public	Damon Hao
06 Aug 2019 13:20	21776_03112011_03142011.docx	Original	284	18.5	Excellent	40	Poor	80	Poor	49	Fair	11.4	Standard	2.5	Fair	40	Fair	13	Fair	General Writing	Public	Damon Hao
06 Aug 2019 13:21	21776_03112011_03162011.docx	Original	1144	17.7	Excellent	43	Poor	96	Poor	66	Fair	13.8	Fairly Difficult	1.7	Good	37	Concise	10	Fair	General Writing	Public	Damon Hao
06 Aug 2019 13:21	21776_03112011_03242011.docx	Original	168	12.0	Excellent	21	Fair	65	Fair	57	Fair	9.9	Fairly Easy	2.4	Fair	36	Concise	10	Fair	General Writing	Public	Damon Hao
06 Aug 2019 13:21	21936_05112010_05132010.docx	Original	70	20.3	Good	67	Bad	57	Fair	49	Fair	11.2	Standard	0.0	Excellent	36	Concise	9	Fair	General Writing	Public	Damon Hao
06 Aug 2019 13:22	22779_01212010_02162010.docx	Original	177	25.3	Bad	14	Good	73	Poor	70	Fair	14.9	Fairly Difficult	0.6	Excellent	33	Concise	6	Poor	General Writing	Public	Damon Hao
06 Aug 2019 13:22	23297_08252005_09012005.docx	Original	110	14.6	Excellent	29	Fair	63	Fair	63	Fair	12.4	Standard	6.4	Dreadful	26	Concise	13	Fair	General Writing	Public	Damon Hao
06 Aug 2019 13:23	23297_08252005_09022005.docx	Original	263	20.5	Good	25	Fair	57	Fair	54	Fair	13.2	Fairly Difficult	2.3	Fair	32	Concise	10	Fair	General Writing	Public	Damon Hao
06 Aug 2019 13:23	23473_10292012_11272012.docx	Original	283	26.6	Bad	0	Excellent	77	Poor	53	Fair	14.8	Fairly Difficult	2.5	Fair	32	Concise	10	Fair	General Writing	Public	Damon Hao
06 Aug 2019 13:23	23660_08252005_09082005.docx	Original	352	20.1	Good	29	Fair	105	Bad	79	Poor	13.1	Fairly Difficult	1.7	Good	45	Wordy	11	Fair	General Writing	Public	Damon Hao
06 Aug 2019 13:24	23660_08252005_09212005.docx	Original	271	23.9	Poor	0	Excellent	40	Good	54	Fair	13.4	Fairly Difficult	0.0	Excellent	42	Fair	6	Poor	General Writing	Public	Damon Hao
06 Aug 2019 13:24	24010_03112011_03142011.docx	Original	498	20.1	Good	33	Fair	108	Bad	83	Poor	15.3	Difficult	3.6	Poor	38	Concise	9	Fair	General Writing	Public	Damon Hao
06 Aug 2019 13:24	27562_08252005_09082005.docx	Original	374	9.7	Too short?	12	Good	64	Fair	60	Fair	9.3	Fairly Easy	0.8	Excellent	38	Concise	7	Poor	General Writing	Public	Damon Hao
06 Aug 2019 13:26	29890_08292005_08302005.docx	Original	128	16.7	Excellent	14	Good	78	Poor	83	Poor	13.6	Fairly Difficult	14.8	Dreadful	34	Concise	11	Fair	General Writing	Public	Damon Hao
06 Aug 2019 13:27	29890_08292005_09022005_1.docx	Original	101	27.7	Bad	33	Fair	128	Bad	80	Poor	16.7	Difficult	8.9	Dreadful	38	Concise	14	Good	General Writing	Public	Damon Hao
06 Aug 2019 13:27	29890_08292005_09022005_2.docx	Original	308	20.9	Good	7	Excellent	38	Good	60	Fair	12.9	Standard	5.5	Bad	38	Concise	7	Poor	General Writing	Public	Damon Hao
06 Aug 2019 13:28	29890_08292005_09062005.docx	Original	173	19.6	Good	0	Excellent	57	Fair	73	Poor	14.5	Fairly Difficult	6.4	Dreadful	33	Concise	9	Fair	General Writing	Public	Damon Hao
06 Aug 2019 13:28	35044_04082010_05052010.docx	Original	247	22.3	Fair	45	Poor	129	Bad	92	Poor	14.9	Fairly Difficult	1.2	Good	43	Fair	7	Poor	General Writing	Public	Damon Hao
06 Aug 2019 13:28	35044_10202010_11032010.docx	Original	228	31.4	Bad	43	Poor	118	Bad	78	Poor	16.5	Difficult	1.3	Good	43	Fair	6	Poor	General Writing	Public	Damon Hao
06 Aug 2019 13:29	37234_09242005_09302005.docx	Original	410	18.5	Excellent	43	Poor	68	Fair	71	Poor	12.7	Standard	1.5	Good	36	Concise	8	Poor	General Writing	Public	Damon Hao
06 Aug 2019 13:29	37234_09242005_10092005.docx	Original	194	20.6	Good	44	Poor	87	Poor	75	Poor	12.9	Standard	1.5	Good	41	Fair	8	Poor	General Writing	Public	Damon Hao
06 Aug 2019 13:29	38790_09082011_09092011.docx	Original	279	16.4	Excellent	41	Poor	78	Poor	69	Fair	12.1	Standard	3.6	Poor	34	Concise	12	Fair	General Writing	Public	Damon Hao
06 Aug 2019 13:30	38790_09082011_09122011.docx	Original	379	16.1	Excellent	35	Fair	50	Fair	52	Fair	10.4	Fairly Easy	2.4	Fair	36	Concise	10	Fair	General Writing	Public	Damon Hao
06 Aug 2019 13:30	38790_09082011_09142011.docx	Original	185	11.8	Excellent	0	Excellent	32	Good	31	Good	8.5	Easy	2.2	Fair	30	Concise	14	Good	General Writing	Public	Damon Hao
06 Aug 2019 13:31	39490_08292005_08292005.docx	Original	137	17.4	Excellent	14	Good	58	Fair	58	Fair	10.8	Fairly Easy	2.9	Fair	35	Concise	11	Fair	General Writing	Public	Damon Hao
06 Aug 2019 13:31	39490_08292005_09012005_1.docx	Original	187	16.3	Excellent	18	Good	42	Fair	76	Poor	13.5	Fairly Difficult	4.3	Bad	34	Concise	8	Poor	General Writing	Public	Damon Hao
06 Aug 2019 13:31	39490_08292005_09012005_2.docx	Original	147	18.6	Excellent	14	Good	61	Fair	63	Fair	12.3	Standard	3.4	Poor	33	Concise	12	Fair	General Writing	Public	Damon Hao
06 Aug 2019 13:32	39490_08292005_09062005.docx	Original	294	22.0	Fair	46	Poor	74	Poor	75	Poor	13.4	Fairly Difficult	3.4	Poor	32	Concise	7	Poor	General Writing	Public	Damon Hao
06 Aug 2019 13:32	39490_08292005_09152005_1.docx	Original	248	10.5	Too short?	0	Excellent	52	Fair	53	Fair	9.2	Fairly Easy	2.4	Fair	30	Concise	7	Poor	General Writing	Public	Damon Hao
06 Aug 2019 13:32	39490_08292005_09152005_2.docx	Original	153	14.3	Excellent	10	Excellent	26	Good	24	Good	7.8	Easy	2.0	Good	31	Concise	15	Good	General Writing	Public	Damon Hao
06 Aug 2019 13:33	40416_07292005_08022005.docx	Original	225	31.9	Bad	71	Bad	120	Bad	77	Poor	16.6	Difficult	0.4	Excellent	39	Concise	13	Fair	General Writing	Public	Damon Hao
06 Aug 2019 13:33	40416_07292005_08192005.docx	Original	171	20.3	Good	38	Poor	87	Poor	50	Fair	10.2	Fairly Easy	0.6	Excellent	37	Concise	10	Fair	General Writing	Public	Damon Hao
06 Aug 2019 13:33	43449_03112011_03142011.docx	Original	141	14.6	Excellent	13	Good	21	Good	43	Fair	10.2	Fairly Easy	4.3	Bad	35	Concise	11	Fair	General Writing	Public	Damon Hao
06 Aug 2019 13:34	45495_05022012_05022012.docx	Original	83	24.0	Poor	67	Bad	84	Poor	81	Poor	14.3	Fairly Difficult	4.8	Bad	40	Fair	10	Fair	General Writing	Public	Damon Hao
06 Aug 2019 13:34	47175_02162005_02162005.docx	Original	71	10.0	Too short?	0	Excellent	14	Excellent	52	Fair	7.7	Easy	7.0	Dreadful	34	Concise	7	Poor	General Writing	Public	Damon Hao
06 Aug 2019 13:35	47175_02162005_02172005.docx	Original	133	17.9	Excellent	14	Good	22	Good	40	Good	10.2	Fairly Easy	3.8	Poor	38	Concise	12	Fair	General Writing	Public	Damon Hao
06 Aug 2019 13:35	47175_02162005_02232005.docx	Original	330	19.9	Good	25	Fair	78	Poor	39	Good	10.9	Fairly Easy	2.1	Fair	33	Concise	15	Good	General Writing	Public	Damon Hao
06 Aug 2019 13:35	49154_08252005_09062005.docx	Original	286	16.4	Excellent	47	Poor	66	Fair	63	Fair	12.6	Standard	1.0	Excellent	31	Concise	8	Poor	General Writing	Public	Damon Hao
06 Aug 2019 13:36	53225_10282010_11102010.docx	Original	115	21.2	Fair	20	Good	43	Fair	57	Fair	12.3	Standard	0.9	Excellent	34	Concise	8	Poor	General Writing	Public	Damon Hao
06 Aug 2019 13:36	57904_03112011_03112011.docx	Original	119	14.8	Excellent	13	Good	50	Fair	42	Fair	8.7	Easy	2.5	Fair	33	Concise	12	Fair	General Writing	Public	Damon Hao
06 Aug 2019 13:36	57904_03112011_03142011.docx	Original	521	23.3	Poor	36	Poor	76	Poor	54	Fair	12.7	Standard	1.9	Good	40	Fair	13	Fair	General Writing	Public	Damon Hao
06 Aug 2019 13:37	58683_04012011_04012011.docx	Original	151	15.9	Excellent	11	Good	33	Good	39	Good	10.2	Fairly Easy	2.0	Good	32	Concise	11	Fair	General Writing	Public	Damon Hao
06 Aug 2019 13:37	58683_04012011_04022011.docx	Original	338	18.8	Excellent	35	Fair	59	Fair	64	Fair	12.9	Standard	4.4	Bad	38	Concise	9	Fair	General Writing	Public	Damon Hao
06 Aug 2019 13:38	58683_12082005_12082005.docx	Original	242	10.5	Too short?	41	Poor	78	Poor	66	Fair	9.3	Fairly Easy	2.5	Fair	35	Concise	12	Fair	General Writing	Public	Damon Hao
06 Aug 2019 13:38	58683_12082005_12092005.docx	Original	537	15.1	Excellent	34	Fair	63	Fair	51	Fair	8.8	Easy	1.7	Good	43	Fair	9	Fair	General Writing	Public	Damon Hao
06 Aug 2019 13:38	59089_10052012_10092012.docx	Original	64	9.5	Too short?	33	Fair	78	Poor	63	Fair	7.6	Easy	3.1	Poor	36	Concise	14	Good	General Writing	Public	Damon Hao
06 Aug 2019 13:39	59192_10292012_10312012.docx	Original	109	14.6	Excellent	29	Fair	82	Poor	62	Fair	7.7	Easy	0.0	Excellent	39	Concise	8	Poor	General Writing	Public	Damon Hao
06 Aug 2019 13:39	59192_10292012_11082012.docx	Original	130	16.1	Excellent	0	Excellent	46	Fair	57	Fair	12.2	Standard	3.8	Poor	28	Concise	10	Fair	General Writing	Public	Damon Hao
06 Aug 2019 13:39	59459_08252005_08262005.docx	Original	712	15.1	Excellent	20	Good	61	Fair	39	Good	9.4	Fairly Easy	1.4	Good	36	Concise	13	Fair	General Writing	Public	Damon Hao
06 Aug 2019 13:40	59459_08252005_08292005.docx	Original	490	14.0	Excellent	24	Fair	67	Fair	50	Fair	9.9	Fairly Easy	1.6	Good	35	Concise	12	Fair	General Writing	Public	Damon Hao
06 Aug 2019 13:40	59459_08252005_09022005.docx	Original	176	17.5	Excellent	0	Excellent	45	Fair	46	Fair	11.2	Standard	2.3	Fair	34	Concise	10	Fair	General Writing	Public	Damon Hao
06 Aug 2019 13:40	59459_08252005_09042005.docx	Original	214	11.4	Excellent	11	Good	46	Fair	47	Fair	9.1	Fairly Easy	6.5	Dreadful	17	Brief	14	Good	General Writing	Public	Damon Hao
06 Aug 2019 13:41	59459_08252005_09092005_1.docx	Original	336	8.0	Too short?	7	Excellent	80	Poor	84	Poor	11.2	Standard	5.7	Bad	34	Concise	6	Poor	General Writing	Public	Damon Hao
06 Aug 2019 13:41	59459_08252005_09092005_2.docx	Original	242	19.5	Good	17	Good	41	Fair	49	Fair	12.5	Standard	2.9	Fair	33	Concise	11	Fair	General Writing	Public	Damon Hao
06 Aug 2019 13:42	59459_08252005_09232005.docx	Original	455	8.7	Too short?	12	Good	50	Fair	58	Fair	9.1	Fairly Easy	3.1	Poor	41	Fair	7	Poor	General Writing	Public	Damon Hao
06 Aug 2019 13:42	59459_10292012_11062012.docx	Original	268	22.7	Fair	18	Good	44	Fair	51	Fair	12.4	Standard	1.1	Good	34	Concise	9	Fair	General Writing	Public	Damon Hao
06 Aug 2019 13:42	61815_08292005_09012005.docx	Original	216	18.9	Excellent	45	Poor	101	Bad	83	Poor	12.7	Standard	2.8	Fair	33	Concise	8	Poor	General Writing	Public	Damon Hao
06 Aug 2019 13:43	61815_09152004_09162004.docx	Original	104	17.8	Excellent	20	Good	38	Good	48	Fair	10.5	Fairly Easy	1.9	Good	33	Concise	7	Poor	General Writing	Public	Damon Hao
06 Aug 2019 13:43	61815_09152004_09172004.docx	Original	104	14.1	Excellent	29	Fair	57	Fair	62	Fair	11.0	Standard	1.9	Good	29	Concise	7	Poor	General Writing	Public	Damon Hao
06 Aug 2019 13:43	62148_08252005_09012005.docx	Original	292	21.8	Fair	15	Good	82	Poor	81	Poor	14.7	Fairly Difficult	5.5	Bad	35	Concise	7	Poor	General Writing	Public	Damon Hao
06 Aug 2019 13:44	62148_08252005_09082005.docx	Original	439	17.5	Excellent	8	Excellent	63	Fair	66	Fair	12.8	Standard	4.1	Bad	37	Concise	10	Fair	General Writing	Public	Damon Hao
06 Aug 2019 13:44	62148_08252005_09152005.docx	Original	266	20.9	Good	67	Bad	63	Fair	77	Poor	13.7	Fairly Difficult	4.9	Bad	38	Concise	6	Poor	General Writing	Public	Damon Hao
06 Aug 2019 13:45	63686_06022005_06092005.docx	Original	141	19.7	Good	29	Fair	85	Poor	54	Fair	11.5	Standard	2.1	Fair	43	Fair	10	Fair	General Writing	Public	Damon Hao
06 Aug 2019 13:45	64311_01062005_01072005.docx	Original	324	28.1	Bad	27	Fair	101	Bad	74	Poor	16.7	Difficult	3.7	Poor	32	Concise	8	Poor	General Writing	Public	Damon Hao
06 Aug 2019 13:45	64311_01062005_01142005.docx	Original	209	20.8	Good	20	Good	38	Good	50	Fair	12.0	Standard	1.4	Good	41	Fair	11	Fair	General Writing	Public	Damon Hao
